condition,seed,scene,reset_seed,action_seed,success,success_steps,episode_steps,restricted_steps,end_reason,J,final_coverage,collision_pairs_total,path_length
mappo,40,128,591002475,3183166750,1,163,163,163,success,-32.52709319125013,1.0,39.0,32.96946662725501
mappo,40,129,293482581,2337615940,1,140,140,140,success,-27.692534199626788,1.0,16.0,25.7083182791043
mappo,40,130,1620863922,2378482480,1,33,33,33,success,-22.09554383018045,1.0,4.0,10.113001669939072
mappo,40,131,736781441,2742294585,1,36,36,36,success,-12.775354225524234,1.0,3.0,8.640957961521549
mappo,40,132,2181366323,3588972222,1,30,30,30,success,-13.978512355845584,1.0,3.0,6.8207894336207975
mappo,40,133,1220707308,3930931015,1,180,180,180,success,-60.25477059725163,1.0,21.0,34.04411534029465
mappo,40,134,1631843000,1274872700,1,19,19,19,success,-5.723067319744757,1.0,0.0,3.3475828828294367
mappo,40,135,1023113342,2568012549,0,,500,500,deadline,-45.66785777724589,0.5,137.0,112.28295364227246
mappo,40,136,2742352646,2785914828,1,45,45,45,success,-23.95378461496524,1.0,8.0,10.016888273495873
mappo,40,137,3420020777,320606331,1,55,55,55,success,-15.979563551858345,1.0,3.0,12.967967703636992
mappo,40,138,4040167021,391379544,1,147,147,147,success,-54.36904465133288,1.0,22.0,30.048971555696408
mappo,40,139,1252297840,625317549,1,39,39,39,success,-31.320081254592925,1.0,3.0,15.214922861542032
mappo,40,140,457140869,1488357737,1,23,23,23,success,-7.65434809673184,1.0,0.0,4.969818811956429
