target,kind,condition,metric,ci_method,count,mean,std,ci_low,ci_high
agents_2,paired_ours_minus_comparator,fit_quarter,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,-1.3693907119360915e-10,2.5089642682983998e-11,-1.5221086002714658e-10,-1.2302749818893232e-10
agents_6,method,ours,team_return,seed_bootstrap_95_pointwise,10,2.9439983997575268,4.178424868066011e-11,2.9439983997320582,2.943998399780567
agents_6,method,sampled,team_return,seed_bootstrap_95_pointwise,10,2.9439983997565196,4.887212851976944e-11,2.9439983997272696,2.9439983997840375
agents_6,paired_ours_minus_comparator,sampled,team_return,paired_seed_bootstrap_95_pointwise,10,1.0068390565720619e-12,1.042615809938497e-11,-4.679288068132337e-12,7.447341632271785e-12
agents_6,method,pg,team_return,seed_bootstrap_95_pointwise,10,2.9420520196059847,9.895540170241068e-05,2.941999956221154,2.942113812411338
agents_6,paired_ours_minus_comparator,pg,team_return,paired_seed_bootstrap_95_pointwise,10,0.0019463801515421154,9.89554020998162e-05,0.0018845873247057565,0.0019984435512929864
agents_6,method,no_direction_check,team_return,seed_bootstrap_95_pointwise,10,2.9439983998196873,3.026373528755876e-11,2.9439983998005874,2.9439983998358996
agents_6,paired_ours_minus_comparator,no_direction_check,team_return,paired_seed_bootstrap_95_pointwise,10,-6.216036574357986e-11,4.4676994319286085e-11,-8.99603058712728e-11,-3.7533153252056204e-11
agents_6,method,no_return_check,team_return,seed_bootstrap_95_pointwise,10,2.943998399949689,1.0464993193925932e-12,2.9439983999490513,2.943998399950266
agents_6,paired_ours_minus_comparator,no_return_check,team_return,paired_seed_bootstrap_95_pointwise,10,-1.9216193081206257e-10,4.184543263934793e-11,-2.176021307587206e-10,-1.6908553002181748e-10
agents_6,method,fit_quarter,team_return,seed_bootstrap_95_pointwise,10,2.9439983989358924,1.9193040368014562e-10,2.9439983988181386,2.9439983990422687
agents_6,paired_ours_minus_comparator,fit_quarter,team_return,paired_seed_bootstrap_95_pointwise,10,8.216343161393524e-10,1.505377345507832e-10,7.381649236304355e-10,9.132649814169724e-10
agents_6,method,ours,per_agent_return,seed_bootstrap_95_pointwise,10,0.49066639995958783,6.964042475312485e-12,0.4906663999553429,0.4906663999634278
agents_6,method,sampled,per_agent_return,seed_bootstrap_95_pointwise,10,0.49066639995941996,8.145361908333359e-12,0.4906663999545449,0.49066639996400613
agents_6,paired_ours_minus_comparator,sampled,per_agent_return,paired_seed_bootstrap_95_pointwise,10,1.6779910794184617e-13,1.7377052043042518e-12,-7.798943435499694e-13,1.2412326721999988e-12
agents_6,method,pg,per_agent_return,seed_bootstrap_95_pointwise,10,0.49034200326766414,1.649256695040357e-05,0.490333326036859,0.49035230206855634
agents_6,paired_ours_minus_comparator,pg,per_agent_return,paired_seed_bootstrap_95_pointwise,10,0.00032439669192368405,1.649256701663651e-05,0.00031409788745096287,0.0003330739252154958
agents_6,method,no_direction_check,per_agent_return,seed_bootstrap_95_pointwise,10,0.490666399969948,5.043956827321363e-12,0.49066639996676453,0.49066639997265005
agents_6,paired_ours_minus_comparator,no_direction_check,per_agent_return,paired_seed_bootstrap_95_pointwise,10,-1.0360062807635017e-11,7.446168715593128e-12,-1.4993391667106337e-11,-6.255530954346613e-12
agents_6,method,no_return_check,per_agent_return,seed_bootstrap_95_pointwise,10,0.4906663999916148,1.744165122262648e-13,0.4906663999915085,0.4906663999917109
agents_6,paired_ours_minus_comparator,no_return_check,per_agent_return,paired_seed_bootstrap_95_pointwise,10,-3.202699772053563e-11,6.974230975419452e-12,-3.6267025493863515e-11,-2.818093119971721e-11
agents_6,method,fit_quarter,per_agent_return,seed_bootstrap_95_pointwise,10,0.4906663998226488,3.198840104023541e-11,0.4906663998030232,0.4906663998403781
agents_6,paired_ours_minus_comparator,fit_quarter,per_agent_return,paired_seed_bootstrap_95_pointwise,10,1.3693904343803354e-10,2.508962189592411e-11,1.2302747057213458e-10,1.522108210305628e-10
agents_6,method,ours,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,4.0412162505276686e-11,6.964041446706761e-12,3.657212532814924e-11,4.4657014197646554e-11
agents_6,method,sampled,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,4.0579969014705364e-11,8.145354752756863e-12,3.599374391131487e-11,4.545501456713434e-11
agents_6,paired_ours_minus_comparator,sampled,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,-1.678065094286772e-13,1.7376930165641635e-12,-1.2412236053786334e-12,7.798813446887232e-13
agents_6,method,pg,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,0.00032439673233584845,1.649256695040178e-05,0.00031409793144365056,0.00033307396314100177
agents_6,paired_ours_minus_comparator,pg,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,-0.00032439669192368584,1.6492567016636034e-05,-0.0003330739252154978,-0.00031409788745095945
